,GDP BY ACTIVITY - CONSTANT 2016=100 PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KSh Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW QUARTERLY ESTIMATES - After rebasing ,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022*
,Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
,Education,61140,61237,64941,65232,68262,68477,71057,70914,73138,72802,74779,74451,79525,79322,80946,81035,80771,80953,82408,82482,81638,81671,82807,82859,82840,82872,83731,83701,84198,84175,84793,84844,91047,91290,92240,92818,98630,97374,98095,98303,102178,100591,104633,107259,107101,79357,87772,102071,119435,104458,112652,120417,126882
,Health,27978,27219,28851,34034,29505,29622,30943,37256,27272,29235,29715,35322,26671,27491,28340,32413,27385,29273,29307,34766,30451,33012,33866,39239,31969,34876,35699,40729,35315,38305,39605,43621,37945,40951,42416,45645,40005,43643,44520,47874,42073,45961,47145,50523,45073,50089,49197,52008,47675,53211,51222,56084,50048
,Other services,36440,36246,37299,37444,37749,37585,38849,38730,38675,38342,39710,39691,39670,39367,40465,40602,39999,40099,40914,41996,41773,41908,42310,43800,43000,42967,44224,44362,44997,45037,46616,46456,47870,46989,48417,47974,48578,48166,50019,50716,51741,51448,52282,50483,49855,39163,45018,41797,45691,50446,52990,48830,50743
,FISIM,-32176,-32291,-33104,-33389,-36606,-36685,-38594,-39927,-40259,-39956,-42166,-43215,-43518,-43338,-46762,-48679,-48400,-49485,-52521,-55282,-55180,-55573,-58879,-61810,-62360,-63463,-65586,-68666,-63480,-63832,-65582,-67715,-57292,-58777,-62429,-66566,-60428,-59982,-63847,-69941,-66603,-64533,-68744,-78537,-64103,-64384,-67247,-77708,-67253,-66182,-70647,-84448,-71557
,All Industries at basic prices,1231237,1219293,1229915,1252772,1325976,1328969,1319568,1358432,1392863,1392494,1388533,1413441,1446760,1454299,1447736,1462113,1495994,1524050,1491063,1504844,1564780,1602126,1565055,1569581,1645652,1684525,1649535,1655424,1711164,1751260,1727970,1736261,1792441,1813409,1781448,1792866,1884463,1912828,1877346,1909238,1987463,2028738,1972132,1992671,2072623,1977617,1913541,2057829,2129608,2182488,2086804,2194802,2264126
,Taxes on products,104315,105799,105333,112798,108676,109334,116000,126559,125808,123210,125150,128708,131480,133930,142122,150008,138478,139321,157673,158890,149057,159074,167520,164965,150379,164536,165125,171849,153890,167679,167311,178527,172992,168319,175372,188674,182979,188946,183190,191901,180013,198753,191300,205876,189951,157919,174949,190611,193285,187187,196886,220625,217000
,GDP at market prices,1335552,1325092,1335249,1365569,1434652,1438303,1435568,1484991,1518671,1515704,1513683,1542149,1578240,1588229,1589858,1612121,1634472,1663371,1648735,1663734,1713837,1761200,1732574,1734546,1796031,1849061,1814660,1827273,1865055,1918939,1895281,1914788,1965433,1981729,1956820,1981540,2067442,2101774,2060536,2101139,2167476,2227491,2163432,2198547,2262574,2135536,2088490,2248440,2322892,2369675,2283690,2415426,2481126
,GDP (seasonally adjusted),1314844,1326084,1348808,1371285,1414539,1438482,1449582,1490081,1501464,1512220,1527277,1548587,1565450,1579088,1603190,1620971,1626387,1646446,1661933,1677156,1707778,1736082,1748492,1751490,1789015,1819036,1832748,1848329,1855737,1888081,1916483,1936414,1952043,1948859,1981881,2005534,2049854,2065956,2092948,2124090,2147000,2187327,2205862,2218023,2238670,2095904,2139203,2261282,2295625,2325444,2350381,2420816,2449162
,"Source: Quarterly GDP Statistical Releases, Kenya National Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Growth Rates, Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP BY ACTIVITY - CONSTANT 2016=100 PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW QUARTERLY ESTIMATES - After rebasing ,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022*
,Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
,Agriculture,,,,,9.6,13.7,6.9,10.8,3.3,2.5,3.5,0.1,2.4,2.4,2.2,2.9,4.6,5.3,3.4,2.5,2.1,1.6,1.4,0.1,3.4,4.2,4.2,6.1,1.5,1.6,1.3,1,0,-2.1,-0.6,-2.5,4.1,5.3,6.3,7.6,4.8,3.3,0.9,1.3,4.5,8.0,-4.3,9.8,0.4,-0.5,0.6,-1.2,-0.7
,Mining & Quarrying,,,,,23.9,29.5,29.7,19.7,17.3,9.5,17.3,9,23.8,31,17.2,13.2,8.4,6.2,11.4,38.2,29.2,32.3,34,17.8,1.7,-12,-21.3,-28.1,-15.6,-12,-8.6,1.1,4,4.7,1.4,2.8,4.4,-4.6,-11.4,-7.2,-1.3,7.0,5.5,6.4,6.5,3.9,5.6,6.0,10.7,10.9,16.4,34.5,22.1
,Manufacturing,,,,,5.3,3.1,6.5,7,7.5,8.2,5.8,9.3,0,0.2,3.3,-1.6,4.4,7.7,5.9,2.4,4.2,3.1,0.1,0.5,6.8,6.7,7,3.2,3.7,3.3,0,0.7,3.5,0.2,-1.4,0.5,5.2,2.9,2.7,3.5,2.7,4.4,2.7,0.9,1.4,-5.4,-2.2,4.3,2.1,11.3,10.2,4.9,3.7
,Electricity & water supply,,,,,6.1,3.8,10,8.4,6.9,10.2,4.2,7.2,6.6,2.6,4.1,2.8,0.7,4.3,5.3,6.6,8,7.7,5.2,3.4,2.1,2.6,2.9,1.3,4.4,2.8,2.4,5.2,2.3,4.3,3.1,2.5,4.1,3.0,4.1,3.2,3.0,1.5,1.5,1.0,1.5,-4.5,0.8,4.6,3.6,7.2,6.4,2.8,1.9
,Construction,,,,,11.1,17.7,17.9,16,11.5,8.6,7.3,10.4,12.8,13.9,16.7,16,7.7,7.3,4.7,2.6,11,12.8,8.2,5.8,4.1,7.5,9.9,9.7,6.1,3.3,6.1,7.7,9.6,4.9,5.7,5.1,6.6,7.0,7.6,3.3,6.1,7.3,7.9,7.4,8.9,6.0,10.2,15.2,6.8,6.8,6.7,6.0,6.4
,"Wholesale & Retail Trade

",,,,,12.2,7.2,9.4,8.3,9.7,7.8,8.1,6.5,4.5,9.1,7.8,5,4,7.3,6.9,3.5,6.9,9,11.2,8.7,6.3,3.4,3.1,4.4,-0.4,0.8,2.5,6.3,3.7,4.6,5.3,3.5,5.1,6.4,5.8,6.4,4.5,6.3,5.3,5.0,5.5,-3.8,-5.1,1.4,7.5,9.2,6.4,8.4,8.7
,Accommodation & restaurant,,,,,-5.3,-2.8,-3.8,10.1,9.9,6,4,-1.3,-2.3,0.1,8.2,8.2,5,0.1,-12.9,-22,-22,-19.3,-19,-13.7,-1.4,4.3,8.6,11,7.3,5.2,7.4,7.7,4.6,6.3,9,17.9,16.8,15.9,10.9,18.5,15.5,11.6,11.9,17.7,-14.1,-57.2,-62.0,-57.7,-33.0,90.1,127.5,118.6,56.2
,Transport & Storage,,,,,6.5,6.5,2.7,6.2,3.6,4.6,8.1,5.1,3.1,3.7,3,2.6,0.5,5.2,1.9,5.2,6,9.2,8,6.7,5.6,5.7,4.8,8.6,8.7,7.9,8.5,8,7.6,5.5,-1.5,3.2,4.3,6.7,5.3,7.7,6.8,8.8,4.6,5.2,2.1,-16.8,-10.2,-6.2,-7.9,18.6,14.2,6.5,8.1
,Information & Communication,,,,,14.4,13.1,13,16.8,17,15.3,18.1,14.8,7.2,7.8,9.2,4.9,25,16.6,11.2,13,8.9,7.2,11.1,15.1,7.8,9.5,14.7,12.7,9.7,9.3,9.3,12.2,8.7,8.3,7.4,8,7.2,8.0,7.7,8.7,8.8,6.8,6.5,5.9,7.8,4.9,4.9,7.5,10.1,17.1,4.1,5.3,6.1
,Financial & Insurance,,,,,13.4,17,17.3,16.3,2.8,1.6,3.2,1.8,6.5,5.5,5,7.5,9.4,10.4,9.7,7.2,10.3,9.8,10,10.6,12.8,12.8,10.8,10.9,2.5,0.7,5.7,5.2,3.2,5.7,4,3.5,2.7,0.9,0.7,6.3,7.3,9.5,10.7,5.2,6.2,3.2,3.3,10.6,11.8,17.3,11.8,9.9,14.4
,Public administration,,,,,2.3,3.1,2.6,1,2.8,3.3,3.7,2.8,2.3,7.1,1.6,4.5,-7.4,-4.2,-8.6,-9.8,5,4.2,2.7,5.1,12.1,12.7,15.6,9.9,5.2,7.6,8.2,3,2.5,3,5.6,4.5,5.8,7.3,9.3,9.1,7.4,9.1,8.5,8.4,4.7,4.5,8.3,10.2,6.8,7.6,4.8,3.3,6.4
,"Professional, Administration & Support Services",,,,,4.3,6.3,6,7.2,1.9,5.8,5.5,1.4,4.1,2.6,2.2,1.1,4.2,5.8,1.1,4.8,0.9,1.7,3.4,2.2,3.5,2.5,2.5,2.4,3.4,3.3,5.1,1,1.1,1.9,2.9,5.9,7.6,7.0,4.5,8.7,6.7,8.1,4.9,7.6,2.7,-25.5,-18.4,-12.5,-13.0,18.3,13.4,8.1,14.9
,Real estate,,,,,3.9,4.9,5.5,5.7,5.3,5.1,4.9,4.8,4.8,4.5,3.8,2.8,1.5,1,1.2,2.2,3.9,5.1,5.6,5.5,4.7,4.8,5.5,7,9.1,10.2,10.3,9.6,7.9,6.8,6.2,6,6.2,6.4,6.6,6.8,7.3,7.2,6.7,5.7,4.1,3.6,3.8,4.8,6.7,7.4,7.1,5.7,6.1
,Education,,,,,11.6,11.8,9.4,8.7,7.1,6.3,5.2,5,8.7,9,8.2,8.8,1.6,2.1,1.8,1.8,1.1,0.9,0.5,0.5,1.5,1.5,1.1,1,1.6,1.6,1.3,1.4,8.1,8.5,8.8,9.4,8.3,6.7,6.3,5.9,3.6,3.3,6.7,9.1,4.8,-21.1,-16.1,-4.8,11.5,31.6,28.3,18.0,6.2
,Health,,,,,5.5,8.8,7.3,9.5,-7.6,-1.3,-4,-5.2,-2.2,-6,-4.6,-8.2,2.7,6.5,3.4,7.3,11.2,12.8,15.6,12.9,5,5.6,5.4,3.8,10.5,9.8,10.9,7.1,7.4,6.9,7.1,4.6,5.4,6.6,5.0,4.9,5.2,5.3,5.9,5.5,7.1,9.0,4.4,2.9,5.8,6.2,4.1,7.8,5.0
